Chromosome,Fitness,Overlap
"('mysavings.com', 'smartsource.com', 'shoprite.com', 'aol.de', 'nextmedia.com', 'ap.org', 'cvs.com', 'live.com')",34403680.609,363829.017247
"('mysavings.com', 'smartsource.com', 'shoprite.com', 'aol.de', 'nextmedia.com', 'ap.org', 'cvs.com', 'live.com')",34403680.609,363829.017247
"('mysavings.com', 'smartsource.com', 'shoprite.com', 'aol.de', 'nextmedia.com', 'ap.org', 'cvs.com', 'live.com')",34403680.609,363829.017247
"('mysavings.com', 'smartsource.com', 'shoprite.com', 'aol.de', 'nextmedia.com', 'ap.org', 'cvs.com', 'live.com')",34403680.609,363829.017247
"('mysavings.com', 'smartsource.com', 'shoprite.com', 'aol.de', 'nextmedia.com', 'ap.org', 'cvs.com', 'live.com')",34403680.609,363829.017247
"('mysavings.com', 'smartsource.com', 'shoprite.com', 'aol.de', 'nextmedia.com', 'ap.org', 'cvs.com', 'live.com')",34403680.609,363829.017247
"('mysavings.com', 'smartsource.com', 'shoprite.com', 'aol.de', 'nextmedia.com', 'ap.org', 'cvs.com', 'live.com')",34403680.609,363829.017247
"('mysavings.com', 'smartsource.com', 'shoprite.com', 'aol.de', 'nextmedia.com', 'ap.org', 'cvs.com', 'live.com')",34403680.609,363829.017247
"('mysavings.com', 'smartsource.com', 'shoprite.com', 'aol.de', 'nextmedia.com', 'ap.org', 'cvs.com', 'live.com')",34403680.609,363829.017247
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('slickdeals.net', 'craigslist.org', 'shareasale.com', 'fenrir-inc.com', 'mysavings.com', 'smartsource.com', 'shoprite.com', 'refdesk.com')",34689149.958,347840.273672
"('refdesk.com', 'mediafire.com', 'bbc.co.uk', 'smartsource.com', 'diepresse.com', 'mysavings.com', 'redintelligence.net', 'nextmedia.com')",35754157.2374,137578.742126
"('refdesk.com', 'mediafire.com', 'bbc.co.uk', 'smartsource.com', 'diepresse.com', 'mysavings.com', 'redintelligence.net', 'nextmedia.com')",35754157.2374,137578.742126
"('refdesk.com', 'mediafire.com', 'bbc.co.uk', 'smartsource.com', 'diepresse.com', 'mysavings.com', 'redintelligence.net', 'nextmedia.com')",35754157.2374,137578.742126
"('refdesk.com', 'mediafire.com', 'bbc.co.uk', 'smartsource.com', 'diepresse.com', 'mysavings.com', 'redintelligence.net', 'nextmedia.com')",35754157.2374,137578.742126
"('refdesk.com', 'mediafire.com', 'bbc.co.uk', 'smartsource.com', 'diepresse.com', 'mysavings.com', 'redintelligence.net', 'nextmedia.com')",35754157.2374,137578.742126
"('refdesk.com', 'mediafire.com', 'bbc.co.uk', 'smartsource.com', 'diepresse.com', 'mysavings.com', 'redintelligence.net', 'nextmedia.com')",35754157.2374,137578.742126
"('refdesk.com', 'mediafire.com', 'bbc.co.uk', 'smartsource.com', 'diepresse.com', 'mysavings.com', 'redintelligence.net', 'nextmedia.com')",35754157.2374,137578.742126
"('refdesk.com', 'mediafire.com', 'bbc.co.uk', 'smartsource.com', 'diepresse.com', 'mysavings.com', 'redintelligence.net', 'nextmedia.com')",35754157.2374,137578.742126
"('refdesk.com', 'mediafire.com', 'bbc.co.uk', 'smartsource.com', 'diepresse.com', 'mysavings.com', 'redintelligence.net', 'nextmedia.com')",35754157.2374,137578.742126
"('refdesk.com', 'mediafire.com', 'bbc.co.uk', 'smartsource.com', 'diepresse.com', 'mysavings.com', 'redintelligence.net', 'nextmedia.com')",35754157.2374,137578.742126
"('diepresse.com', 'smartsource.com', 'refdesk.com', 'nextmedia.com', 'mediafire.com', 'mysavings.com', 'derstandard.at', 'ap.org')",37638693.803,553918.291063
"('diepresse.com', 'smartsource.com', 'refdesk.com', 'nextmedia.com', 'mediafire.com', 'mysavings.com', 'derstandard.at', 'ap.org')",37638693.803,553918.291063
"('diepresse.com', 'smartsource.com', 'refdesk.com', 'nextmedia.com', 'mediafire.com', 'mysavings.com', 'derstandard.at', 'ap.org')",37638693.803,553918.291063
